experimento;arquivo_saida;arquivo_entrada;politica_escrita;tamanho_bloco_bytes;numero_linhas_cache;capacidade_bytes;capacidade_kib;associatividade;numero_conjuntos;hit_time_ns;politica_substituicao;tempo_leitura_mp_ns;tempo_escrita_mp_ns;total_acessos;total_leituras_arquivo;total_escritas_arquivo;leituras_mp;escritas_mp;acessos_mp;taxa_acerto_leitura;taxa_acerto_escrita;taxa_acerto_global;tempo_medio_acesso_ns;rotulo_configuracao
Cache;cache_size_8.txt;entrada2.txt;0 (write-through);128;8;1024;1.0;4;2;4;LRU;60;60;51200;45056;6144;23040;6144;29184;0.4886;0.0;0.43;38.2;0 (write-through) | 1 KiB | B=128 | A=4
Cache;cache_size_16.txt;entrada2.txt;0 (write-through);128;16;2048;2.0;4;4;4;LRU;60;60;51200;45056;6144;20993;6144;27137;0.5341;0.0;0.47;35.8012;0 (write-through) | 2 KiB | B=128 | A=4
Cache;cache_size_32.txt;entrada2.txt;0 (write-through);128;32;4096;4.0;4;8;4;LRU;60;60;51200;45056;6144;14859;6144;21003;0.6702;0.0;0.5898;28.6129;0 (write-through) | 4 KiB | B=128 | A=4
Cache;cache_size_64.txt;entrada2.txt;0 (write-through);128;64;8192;8.0;4;16;4;LRU;60;60;51200;45056;6144;3106;6144;9250;0.9311;0.0;0.8193;14.8398;0 (write-through) | 8 KiB | B=128 | A=4
Cache;cache_size_128.txt;entrada2.txt;0 (write-through);128;128;16384;16.0;4;32;4;LRU;60;60;51200;45056;6144;40;6144;6184;0.9991;0.0;0.8792;11.2469;0 (write-through) | 16 KiB | B=128 | A=4
Cache;cache_size_256.txt;entrada2.txt;0 (write-through);128;256;32768;32.0;4;64;4;LRU;60;60;51200;45056;6144;40;6144;6184;0.9991;0.0;0.8792;11.2469;0 (write-through) | 32 KiB | B=128 | A=4
Cache;cache_size_512.txt;entrada2.txt;0 (write-through);128;512;65536;64.0;4;128;4;LRU;60;60;51200;45056;6144;40;6144;6184;0.9991;0.0;0.8792;11.2469;0 (write-through) | 64 KiB | B=128 | A=4
Cache;cache_size_1024.txt;entrada2.txt;0 (write-through);128;1024;131072;128.0;4;256;4;LRU;60;60;51200;45056;6144;40;6144;6184;0.9991;0.0;0.8792;11.2469;0 (write-through) | 128 KiB | B=128 | A=4
Bloco;block_size_8.txt;entrada2.txt;0 (write-through);8;1024;8192;8.0;2;512;4;LRU;60;60;51200;45056;6144;1621;6144;7765;0.964;0.0;0.8483;13.0996;0 (write-through) | 8 KiB | B=8 | A=2
Bloco;block_size_16.txt;entrada2.txt;0 (write-through);16;512;8192;8.0;2;256;4;LRU;60;60;51200;45056;6144;1621;6144;7765;0.964;0.0;0.8483;13.0996;0 (write-through) | 8 KiB | B=16 | A=2
